Address_Range,Council_District,HPD_Beat,HPD_District,HPD_Division,Offense,Premise_Type,SNB_Name,SNB_No,Time_Begun,Full_time,Weekday,Month,Time,lat,lon,Estimated_Population
700-799 E 12TH,C,2A30,2,Central Division,Theft,"Road, Street, or Sidewalk",GREATER HEIGHTS,15,1475708400000.0,2016-10-05 18:00:00,Wednesday,October,18:00:00,29.7926211,-95.3899797,"173,195"
700-799 CAVALCADE,H,2A10,2,Central Division,Robbery,Convenience Store,NEAR NORTHSIDE,51,1477168740000.0,2016-10-22 15:39:00,Saturday,October,15:39:00,29.8032107,-95.36204129999999,"173,195"
800-899 W CAVALCADE,H,2A20,2,Central Division,Theft,Service or Gas Station,GREATER HEIGHTS,15,1475946000000.0,2016-10-08 12:00:00,Saturday,October,12:00:00,29.8038652,-95.3748212,"173,195"
6900-6999 APPLETON,H,3B50,3,North Division,Robbery,"Road, Street, or Sidewalk",NORTHSIDE/NORTHLINE,45,1475561400000.0,2016-10-04 01:10:00,Tuesday,October,01:10:00,29.8215029,-95.3680738,"228,390"
1600-1699 COLLINGSWORTH,H,2A10,2,Central Division,Burglary,Auto Repair,NEAR NORTHSIDE,51,1474745400000.0,2016-09-24 14:30:00,Saturday,September,14:30:00,29.7931997,-95.3521777,"173,195"
3600-3699 CRANDON,B,7C20,7,Northeast Division,Burglary,Residence or House,KASHMERE GARDENS,52,1477031400000.0,2016-10-21 01:30:00,Friday,October,01:30:00,29.7983721,-95.3348112,"250,444"
8500-8599 IRVINGTON,H,3B50,3,North Division,Theft,"Road, Street, or Sidewalk",NORTHSIDE/NORTHLINE,45,1475103600000.0,2016-09-28 18:00:00,Wednesday,September,18:00:00,29.837139699999998,-95.3613488,"228,390"
300-399 W 24TH,C,2A30,2,Central Division,Theft,"Other, Unknown, or Not Li",GREATER HEIGHTS,15,1475107260000.0,2016-09-28 19:01:00,Wednesday,September,19:01:00,29.807980800000003,-95.4015455,"173,195"
4000-4099 IRVINGTON,H,2A10,2,Central Division,Theft,"Road, Street, or Sidewalk",NEAR NORTHSIDE,51,1475314440000.0,2016-10-01 04:34:00,Saturday,October,04:34:00,29.7965838,-95.3608893,"173,195"
1200-1299 LEE,H,2A10,2,Central Division,Burglary,"Other, Unknown, or Not Li",NEAR NORTHSIDE,51,1476284400000.0,2016-10-12 10:00:00,Wednesday,October,10:00:00,29.7813744,-95.3560868,"173,195"
2000-2099 LORRAINE,B,7C10,7,Northeast Division,Aggravated Assault,"Road, Street, or Sidewalk",NEAR NORTHSIDE,51,1476083700000.0,2016-10-10 02:15:00,Monday,October,02:15:00,29.779769199999997,-95.3393711,"250,444"
2000-2099 WHITE,H,2A40,2,Central Division,Theft,Warehouse,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1475060400000.0,2016-09-28 06:00:00,Wednesday,September,06:00:00,29.775807300000004,-95.37815359999999,"173,195"
2400-2499 KATY ,H,2A40,2,Central Division,Theft,Other Parking Lot,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1475596800000.0,2016-10-04 11:00:00,Tuesday,October,11:00:00,29.809902,-95.8092576,"173,195"
6300-6399 N MAIN,H,2A20,2,Central Division,Robbery,"Road, Street, or Sidewalk",GREATER HEIGHTS,15,1476578940000.0,2016-10-15 19:49:00,Saturday,October,19:49:00,29.807685,-95.389061,"173,195"
4400-4499 NORTH ,H,3B50,3,North Division,Theft,Strip Business Center Par,NORTHSIDE/NORTHLINE,45,1474716600000.0,2016-09-24 06:30:00,Saturday,September,06:30:00,29.828934399999998,-95.3796783,"228,390"
2200-2299 UNION,H,2A40,2,Central Division,Theft,Restaurant or Cafeteria P,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1476961800000.0,2016-10-20 06:10:00,Thursday,October,06:10:00,29.7676789,-95.38054609999999,"173,195"
1100-1199 YALE,C,2A30,2,Central Division,Theft,Bar or Night Club Parking,GREATER HEIGHTS,15,1475695800000.0,2016-10-05 14:30:00,Wednesday,October,14:30:00,29.790689500000003,-95.3989895,"173,195"
4000-4099 LOCKWOOD,B,7C20,7,Northeast Division,Auto Theft,Service or Gas Station,KASHMERE GARDENS,52,1475019180000.0,2016-09-27 18:33:00,Tuesday,September,18:33:00,29.7970208,-95.3168983,"250,444"
900-999 YORKSHIRE,H,3B50,3,North Division,Aggravated Assault,Apartment,NORTHSIDE/NORTHLINE,45,1475108700000.0,2016-09-28 19:25:00,Wednesday,September,19:25:00,29.827690500000003,-95.36003240000001,"228,390"
1900-1999 CROCKETT,H,2A40,2,Central Division,Theft,"Road, Street, or Sidewalk",WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1476965760000.0,2016-10-20 07:16:00,Thursday,October,07:16:00,29.7737572,-95.3771431,"173,195"
6400-6499 EASTEX ,B,7C20,7,Northeast Division,Burglary,Rental Storage Facility,TRINITY / HOUSTON GARDENS,48,1476471600000.0,2016-10-14 14:00:00,Friday,October,14:00:00,29.938586800000003,-95.295151,"250,444"
2600-2699 STEVENS,B,7C20,7,Northeast Division,Theft,Driveway,GREATER FIFTH WARD,55,1476745200000.0,2016-10-17 18:00:00,Monday,October,18:00:00,29.785668800000003,-95.34401,"250,444"
1400-1499 STUDEMONT,H,2A50,2,Central Division,Theft,Grocery Store or Supermar,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1475854500000.0,2016-10-07 10:35:00,Friday,October,10:35:00,29.773875,-95.389728,"173,195"
